t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920167,8188264,106165.940684,509527.415779,1295566.433754,1513600.119993,events/second
1548920168,8188264,104835.287890,509527.415779,1295566.433754,1513600.119993,events/second
1548920169,8188264,103451.730691,509527.415779,1295566.433754,1513600.119993,events/second
1548920170,8188264,102180.145780,468787.852988,1274152.604127,1505214.545268,events/second
1548920171,8188264,100945.246927,468787.852988,1274152.604127,1505214.545268,events/second
1548920172,8188264,99560.314704,468787.852988,1274152.604127,1505214.545268,events/second
1548920173,8188264,98496.227499,468787.852988,1274152.604127,1505214.545268,events/second
1548920174,8188264,97336.873634,468787.852988,1274152.604127,1505214.545268,events/second
1548920175,8188264,96213.530600,431305.645787,1253092.713971,1496875.427902,events/second
1548920176,8188264,95090.231013,431305.645787,1253092.713971,1496875.427902,events/second
1548920177,8188264,94000.203077,431305.645787,1253092.713971,1496875.427902,events/second
1548920178,8188264,92938.248160,431305.645787,1253092.713971,1496875.427902,events/second
1548920179,8188264,91891.716708,431305.645787,1253092.713971,1496875.427902,events/second
1548920180,8188264,90869.536575,396820.350405,1232380.913182,1488582.510514,events/second
1548920181,8188264,89862.900698,396820.350405,1232380.913182,1488582.510514,events/second
1548920182,8188264,88868.614301,396820.350405,1232380.913182,1488582.510514,events/second
1548920183,8188264,87945.097006,396820.350405,1232380.913182,1488582.510514,events/second
1548920184,8188264,87009.576447,396820.350405,1232380.913182,1488582.510514,events/second
1548920185,8188264,86096.045014,365092.347001,1212011.448349,1480335.537149,events/second
1548920186,8188264,85199.197511,365092.347001,1212011.448349,1480335.537149,events/second
1548920187,8188264,84320.738920,365092.347001,1212011.448349,1480335.537149,events/second
1548920188,8188264,83460.064939,365092.347001,1212011.448349,1480335.537149,events/second
1548920189,8188264,82610.968451,365092.347001,1212011.448349,1480335.537149,events/second
1548920190,8188264,81782.616670,335901.174682,1191978.661157,1472134.253269,events/second
1548920191,8188264,80975.428147,335901.174682,1191978.661157,1472134.253269,events/second
1548920192,8188264,80179.122689,335901.174682,1191978.661157,1472134.253269,events/second
1548920193,8188264,79407.975952,335901.174682,1191978.661157,1472134.253269,events/second
1548920194,8188264,78648.554800,335901.174682,1191978.661157,1472134.253269,events/second
1548920195,8188264,77902.319085,309043.999634,1172276.986812,1463978.405749,events/second
1548920196,8188264,77169.464851,309043.999634,1172276.986812,1463978.405749,events/second
