t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920203,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.018099,0.038970,0.143470,0.178990,calls/second,milliseconds
1548920204,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017934,0.038970,0.143470,0.178990,calls/second,milliseconds
1548920205,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017776,0.038970,0.143470,0.178990,calls/second,milliseconds
1548920206,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017619,0.038970,0.143470,0.178990,calls/second,milliseconds
1548920207,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017466,0.038970,0.143470,0.178990,calls/second,milliseconds
1548920208,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017315,0.035854,0.141098,0.177999,calls/second,milliseconds
1548920209,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017161,0.035854,0.141098,0.177999,calls/second,milliseconds
1548920210,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.017019,0.035854,0.141098,0.177999,calls/second,milliseconds
1548920211,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016876,0.035854,0.141098,0.177999,calls/second,milliseconds
1548920212,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016735,0.035854,0.141098,0.177999,calls/second,milliseconds
1548920213,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016593,0.032987,0.138766,0.177012,calls/second,milliseconds
1548920214,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016458,0.032987,0.138766,0.177012,calls/second,milliseconds
1548920215,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016319,0.032987,0.138766,0.177012,calls/second,milliseconds
1548920216,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016186,0.032987,0.138766,0.177012,calls/second,milliseconds
1548920217,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.016054,0.032987,0.138766,0.177012,calls/second,milliseconds
1548920218,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015928,0.030350,0.136472,0.176032,calls/second,milliseconds
1548920219,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015800,0.030350,0.136472,0.176032,calls/second,milliseconds
1548920220,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015675,0.030350,0.136472,0.176032,calls/second,milliseconds
1548920221,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015551,0.030350,0.136472,0.176032,calls/second,milliseconds
1548920222,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015432,0.030350,0.136472,0.176032,calls/second,milliseconds
1548920223,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015314,0.027923,0.134217,0.175056,calls/second,milliseconds
1548920224,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015199,0.027923,0.134217,0.175056,calls/second,milliseconds
1548920225,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.015080,0.027923,0.134217,0.175056,calls/second,milliseconds
1548920226,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014963,0.027923,0.134217,0.175056,calls/second,milliseconds
1548920227,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014853,0.027923,0.134217,0.175056,calls/second,milliseconds
1548920228,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014745,0.025691,0.131998,0.174087,calls/second,milliseconds
1548920229,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014636,0.025691,0.131998,0.174087,calls/second,milliseconds
1548920230,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014529,0.025691,0.131998,0.174087,calls/second,milliseconds
1548920231,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014426,0.025691,0.131998,0.174087,calls/second,milliseconds
1548920232,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014318,0.025691,0.131998,0.174087,calls/second,milliseconds
1548920233,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014222,0.023637,0.129817,0.173122,calls/second,milliseconds
1548920234,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.014083,0.023637,0.129817,0.173122,calls/second,milliseconds
1548920235,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.013976,0.023637,0.129817,0.173122,calls/second,milliseconds
1548920236,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.013773,0.021747,0.127671,0.172163,calls/second,milliseconds
1548920238,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.013567,0.021747,0.127671,0.172163,calls/second,milliseconds
1548920240,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.020213,0.021747,0.127671,0.172163,calls/second,milliseconds
1548920241,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.020129,0.021747,0.127671,0.172163,calls/second,milliseconds
1548920242,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.020050,0.021747,0.127671,0.172163,calls/second,milliseconds
1548920242,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019970,0.035999,0.128866,0.172317,calls/second,milliseconds
1548920243,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019892,0.035999,0.128866,0.172317,calls/second,milliseconds
1548920243,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019812,0.035999,0.128866,0.172317,calls/second,milliseconds
1548920244,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019758,0.035999,0.128866,0.172317,calls/second,milliseconds
1548920245,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019660,0.035999,0.128866,0.172317,calls/second,milliseconds
1548920246,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019511,0.035999,0.128866,0.172317,calls/second,milliseconds
1548920247,3,40.000000,34.359298,12.000000,10.781934,40.000000,40.000000,40.000000,40.000000,40.000000,40.000000,0.019404,0.035999,0.128866,0.172317,calls/second,milliseconds
